Stock,PE_Ratio,Dividend_Yield,Market_Cap
ADANIENT.NS,93.070274,0.0004,3562842095616
APOLLOHOSP.NS,91.606895,0.0025,951259955200
ADANIPORTS.NS,33.82832,0.004,3232332251136
ASIANPAINT.NS,57.70456,0.011,2934150266880
AXISBANK.NS,13.4482565,0.00090000004,3576758272000
BAJAJ-AUTO.NS,34.68709,0.0081,2754505867264
BAJAJFINSV.NS,29.863253,0.00059999997,2471450640384
BAJFINANCE.NS,27.24799,0.0056,4087785455616
BHARTIARTL.NS,86.32474,0.0054,8802651865088
BPCL.NS,7.644887,0.0708,1482251829248
BRITANNIA.NS,63.046104,0.012999999,1383522893824
CIPLA.NS,29.62831,0.0083,1274895532032
COALINDIA.NS,8.416979,0.057600003,3183357984768
DIVISLAB.NS,73.478264,0.0064999997,1229280772096
DRREDDY.NS,20.616962,0.0058999998,1145645301760
EICHERMOT.NS,31.342894,0.0108,1311929925632
HDFCBANK.NS,18.394676,0.0121,12375761616896
HDFCLIFE.NS,90.15832,0.0029,1470171054080
GRASIM.NS,32.492752,0.004,1748311474176
HINDUNILVR.NS,62.53468,0.0154,6462557388800
ICICIBANK.NS,18.612776,0.0086,8308224688128
INFY.NS,28.779564,0.011,7711126716416
ITC.NS,30.924112,0.0305,6319028830208
JSWSTEEL.NS,30.425285,0.0082,2223055568896
KOTAKBANK.NS,16.593803,0.0011,3524042424320
LT.NS,36.978207,0.007900001,4898883108864
MARUTI.NS,26.070505,0.010199999,3834144620544
M&M.NS,28.33959,0.0077,3114697228288
NESTLEIND.NS,81.49789,0.012999999,2420949909504
NTPC.NS,19.09048,0.0295,3929105235968
ONGC.NS,9.485875,0.038900003,4224464453632
POWERGRID.NS,19.87478,0.0332,3175706525696
RELIANCE.NS,29.420355,0.0034,20244898775040
SBILIFE.NS,82.7923,0.0016,1681892048896
HCLTECH.NS,27.537153,0.028800001,4512877641728
SHREECEM.NS,42.755127,0.0045,897567948800
SUNPHARMA.NS,40.316982,0.0078,4180832681984
TATASTEEL.NS,8.81,0.024600001,1884384264192
TATACONSUM.NS,100.15731,0.0066000004,1136247046144
TATAMOTORS.NS,12.356681,0.0028,3996819652608
TECHM.NS,56.02537,0.0454,1405523460096
TITAN.NS,89.06499,0.0032,3075710124032
ULTRACEMCO.NS,46.631805,0.0062,3263785598976
WIPRO.NS,24.276377,0.002,2717743579136
HEROMOTOCO.NS,25.269415,0.0227,1028817158144
HINDALCO.NS,13.465428,0.0056,1448732524544
INDUSINDBK.NS,11.775168,0.0121,1062120652800
LTIM.NS,36.59404,0.0117,1675773083648
BAJFINANCE.NS,27.24799,0.0056,4087785455616
TCS.NS,34.445908,0.0127,16070831243264
