date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
31-12-1960,37.02988388,83.0351,0
31-12-1961,39.23243578,85.9697,3.7227
31-12-1962,42.16148186,90.2769,2.9311
31-12-1963,48.42192346,101.3152,5.9944
31-12-1964,56.48028994,115.4876,7.453
31-12-1965,59.55485458,119.0825,-2.6358
31-12-1966,45.86546203,89.7576,-0.0553
31-12-1967,50.1349422,96.0463,7.826
31-12-1968,53.08545587,99.5168,3.3879
31-12-1969,58.44799502,107.1821,6.5397
31-12-1970,62.42248305,111.9683,5.1572
31-12-1971,67.35140435,118.1605,1.6429
31-12-1972,71.46319383,122.6125,-0.5533
31-12-1973,85.51526959,143.4561,3.2955
31-12-1974,99.52589912,163.2316,1.1853
31-12-1975,98.47279646,157.9294,9.1499
31-12-1976,102.7171645,161.1372,1.6631
31-12-1977,121.4866414,186.4191,7.2548
31-12-1978,137.3002953,206.0737,5.7125
31-12-1979,152.9916538,224.5754,-5.2382
31-12-1980,186.3253451,267.3906,6.7358
31-12-1981,193.4913684,271.4261,6.0062
31-12-1982,200.7156248,275.2661,3.4757
31-12-1983,218.2621464,292.6446,7.2889
31-12-1984,212.1576452,278.0954,3.8207
31-12-1985,232.5115548,297.9992,5.2543
31-12-1986,248.985994,312.0598,4.7766
31-12-1987,279.0335841,342.0719,3.9654
31-12-1988,296.5896709,355.7384,9.6278
31-12-1989,296.0420529,347.462,5.9473
31-12-1990,320.9790264,368.7498,5.5335
31-12-1991,270.1053419,303.8504,1.0568
31-12-1992,288.2080703,317.5587,5.4824
31-12-1993,279.295649,301.5008,4.7508
31-12-1994,327.2755835,346.2274,6.6589
31-12-1995,360.2819096,373.6282,7.5745
31-12-1996,392.8968662,399.5773,7.5495
31-12-1997,415.8675636,414.8987,4.0498
31-12-1998,421.3513172,412.5094,6.1844
31-12-1999,458.8204173,440.9615,8.8458
31-12-2000,468.3949373,442.0348,3.841
31-12-2001,485.4410145,449.9111,4.824
31-12-2002,514.9379489,468.8444,3.804
31-12-2003,607.6992854,543.8438,7.8604
31-12-2004,709.1485148,624.1051,7.9229
31-12-2005,820.3815955,710.5093,7.9234
31-12-2006,940.2598888,802.0137,8.0607
31-12-2007,1216.736439,1022.7325,7.6608
31-12-2008,1198.895139,993.5034,3.0867
31-12-2009,1341.888017,1096.6361,7.8619
31-12-2010,1675.615519,1350.6345,8.4976
31-12-2011,1823.05183,1449.6033,5.2413
31-12-2012,1827.637591,1434.018,5.4564
31-12-2013,1856.721508,1438.057,6.3861
31-12-2014,2039.126479,1559.8638,7.4102
31-12-2015,2103.58836,1590.1743,7.9963
31-12-2016,2294.796886,1714.2795,8.2563
31-12-2017,2651.474263,1957.9698,6.7954
31-12-2018,2702.929642,1974.3777,6.4539
31-12-2019,2835.606257,2050.1638,3.8714
31-12-2020,2671.595406,1913.2197,-5.8311
31-12-2021,3150.306839,2238.1271,9.0503
31-12-2022,3416.645826,2410.888,7.2397
